NUTS,Region name,Total,January,February,March,April,May,June,July,August,September,October,November,December
ITC1,Piemonte,,0.524204,0.490572,0.571073,0.550284,0.529513,0.588799,0.795431,0.831606,0.551428,0.510312,0.542639,0.547849
ITC2,Valle d’Aosta/Vallée d’Aoste,,0.247613,0.183208,0.149363,0.077952,0.045828,0.126092,0.362200,0.528257,0.113496,0.053282,0.067554,0.208517
ITC3,Liguria,,0.390450,0.399242,0.495818,0.628155,0.617333,1.041938,1.395672,1.820356,0.918894,0.374968,0.312873,0.338890
ITC4,Lombardia,,1.226321,1.177498,1.272702,1.277905,1.218541,1.345209,1.617619,1.724251,1.278161,1.170581,1.282616,1.289414
ITF1,Abruzzo,,0.234515,0.225514,0.194845,0.216488,0.255730,0.796316,1.340877,1.709797,0.518648,0.216043,0.162832,0.220512
ITF2,Molise,,0.014139,0.016030,0.016143,0.017333,0.026841,0.041651,0.085866,0.127001,0.032292,0.014107,0.012523,0.010023
ITF3,Campania,,0.398496,0.366127,0.537210,0.697131,0.766879,1.105058,1.408223,1.788726,0.934820,0.742838,0.486095,0.495500
ITF4,Puglia,,0.182840,0.191640,0.282372,0.370536,0.444759,1.560361,2.815328,3.808176,1.259521,0.372909,0.290765,0.283598
ITF5,Basilicata,,0.058465,0.042406,0.063920,0.098386,0.130243,0.258654,0.451054,0.557177,0.204767,0.078629,0.059282,0.060464
ITF6,Calabria,,0.065807,0.070434,0.078265,0.126834,0.175991,0.851438,1.820466,2.329691,0.726486,0.134387,0.081566,0.076497
ITG1,Sicilia,,0.274156,0.290303,0.386964,0.517774,0.626098,1.033597,1.438421,1.976920,1.026335,0.490320,0.306941,0.283040
ITG2,Sardegna,,0.084964,0.094727,0.113326,0.173167,0.284085,1.209621,1.776000,2.340212,1.084681,0.260105,0.109780,0.102920
ITH1,Provincia Autonoma di Bolzano/Bozen,,1.151189,0.770210,0.531804,0.206165,0.170375,0.534245,1.774027,2.982633,0.588963,0.269079,0.335807,1.179606
ITH2,Provincia Autonoma di Trento,,1.251562,0.951622,0.738548,0.245777,0.215213,0.716224,2.018619,2.637380,0.775450,0.246383,0.227775,1.000837
ITH3,Veneto,,1.089860,1.018654,1.192603,1.467135,1.416667,2.829111,3.296026,4.151875,1.850191,1.076846,1.169343,1.135579
ITH4,Friuli-Venezia Giulia,,0.206208,0.195496,0.235216,0.254194,0.282711,0.470055,0.642764,0.843980,0.355510,0.218560,0.198228,0.228575
ITH5,Emilia-Romagna,,0.903754,0.843167,1.183526,1.601196,1.755718,4.548102,5.631945,6.478591,2.526056,1.081742,1.046770,0.966626
ITI1,Toscana,,0.668070,0.672069,0.924642,1.185485,1.231294,2.510596,3.466774,4.645922,1.892098,0.823814,0.822026,0.756804
ITI2,Umbria,,0.218944,0.168580,0.295515,0.388794,0.342378,0.379660,0.473429,0.746004,0.372695,0.336416,0.329960,0.314385
ITI3,Marche,,0.208222,0.201813,0.276043,0.352382,0.431265,1.188075,1.868903,2.298122,0.793365,0.330477,0.312071,0.311743
ITI4,Lazio,,1.206015,1.267325,1.439845,1.388559,1.463457,1.541631,1.746447,1.596198,1.285004,1.226357,1.435466,1.368171
CY00,Kýpros,,0.049220,0.049785,0.088650,0.070148,0.089792,0.132627,0.189070,0.338475,0.106466,0.088798,0.062725,0.084869
LV00,Latvija,,0.097596,0.100927,0.117686,0.118678,0.141778,0.208349,0.289313,0.265985,0.141783,0.128837,0.117359,0.122669
LT01,Sostinės regionas,,0.063839,0.063129,0.069923,0.073255,0.080773,0.102419,0.121717,0.120701,0.083800,0.076769,0.070897,0.081292
LT02,Vidurio ir vakarų Lietuvos regionas,,0.227158,0.247462,0.267427,0.277987,0.341279,0.507434,0.694168,0.699510,0.377123,0.310784,0.284729,0.294378
LU00,Luxembourg,,0.023301,0.025997,0.030039,0.033913,0.052441,0.062027,0.053719,0.042554,0.037611,0.034040,0.031143,0.032167
HU11,Budapest,,0.120518,0.123822,0.141510,0.146975,0.169879,0.158144,0.163758,0.169520,0.148399,0.153623,0.153079,0.151549
HU12,Pest,,0.058613,0.061959,0.067487,0.064354,0.080543,0.088551,0.123152,0.131158,0.075300,0.081667,0.069985,0.063251
HU21,Közép-Dunántúl,,0.107977,0.107268,0.143963,0.155852,0.236863,0.353146,0.636965,0.612071,0.238444,0.172387,0.133953,0.126874
HU22,Nyugat-Dunántúl,,0.179320,0.188674,0.227172,0.223572,0.251631,0.294091,0.489498,0.491563,0.244840,0.273268,0.226397,0.213615
HU23,Dél-Dunántúl,,0.067017,0.071387,0.091236,0.095598,0.147419,0.269057,0.520349,0.519033,0.142512,0.111601,0.092697,0.076415
HU31,Észak-Magyarország,,0.119903,0.120879,0.153345,0.137964,0.180510,0.205387,0.291646,0.308455,0.165933,0.186589,0.149929,0.145094
HU32,Észak-Alföld,,0.074308,0.082178,0.106400,0.106163,0.128428,0.150038,0.261180,0.270134,0.125137,0.126674,0.108818,0.092285
HU33,Dél-Alföld,,0.064350,0.071356,0.096878,0.095728,0.125185,0.139890,0.243089,0.239316,0.115429,0.117650,0.088108,0.083680
MT00,Malta,,0.044372,0.062775,0.064284,0.050906,0.051491,0.056643,0.063459,0.067482,0.056412,0.053995,0.069438,0.073839
NL11,Groningen,,0.073206,0.069072,0.077225,0.085877,0.157746,0.138262,0.148297,0.203930,0.133141,0.089867,0.075562,0.078745
NL12,Friesland (NL),,0.176834,0.188787,0.216835,0.290043,0.683845,0.634799,0.834210,0.980583,0.544357,0.321144,0.237739,0.193687
NL13,Drenthe,,0.337037,0.351127,0.310889,0.380236,0.794553,0.636321,0.747688,1.038803,0.622682,0.362246,0.294183,0.354227
NL21,Overijssel,,0.240837,0.243000,0.256621,0.469251,0.917688,0.701430,0.901304,1.412585,0.696671,0.456509,0.286066,0.296973
NL22,Gelderland,,0.573402,0.585561,0.581946,0.822985,1.535041,1.320816,1.630219,2.109801,1.239746,0.921835,0.620865,0.603394
NL23,Flevoland,,0.123912,0.123819,0.111836,0.112808,0.229539,0.141506,0.189535,0.267844,0.205111,0.132832,0.130549,0.136026
NL32,Noord-Holland,,0.828524,0.835828,0.896992,1.037978,1.420113,1.287017,1.368192,1.661645,1.291878,1.052786,0.866745,0.802040
NL34,Zeeland,,0.214386,0.252638,0.197267,0.316418,0.690568,0.633107,0.746457,0.947664,0.566204,0.330021,0.246100,0.223772
NL35,Utrecht,,0.180967,0.187304,0.208877,0.252545,0.415483,0.330927,0.400309,0.422591,0.334237,0.268889,0.222896,0.198807
NL36,Zuid-Holland,,0.494175,0.491919,0.526119,0.606996,0.826931,0.755104,0.815703,0.864330,0.743104,0.625860,0.528827,0.544307
NL41,Noord-Brabant,,0.486622,0.508841,0.504894,0.675204,1.188914,1.076596,1.294188,1.528570,0.965167,0.709582,0.541138,0.529518
NL42,Limburg (NL),,0.482470,0.502341,0.499503,0.632769,1.048698,0.944200,1.182299,1.460359,0.983828,0.686858,0.555857,0.676105
AT11,Burgenland,,0.122735,0.134498,0.154978,0.158045,0.232455,0.282414,0.279404,0.324552,0.197121,0.176840,0.162775,0.129941
AT12,Niederösterreich,,0.263513,0.281258,0.316540,0.343555,0.410103,0.434552,0.485662,0.539204,0.381733,0.392965,0.328615,0.271282
AT13,Wien,,0.205460,0.219808,0.284961,0.287171,0.312546,0.320578,0.253535,0.262560,0.262146,0.327470,0.305339,0.260218
AT21,Kärnten,,0.241571,0.334127,0.225103,0.146645,0.420817,0.614270,0.951059,0.972658,0.460752,0.229176,0.153872,0.201892
AT22,Steiermark,,0.519746,0.612638,0.525823,0.399550,0.585288,0.612772,0.726151,0.870293,0.603029,0.593270,0.412839,0.463172
AT31,Oberösterreich,,0.305848,0.325413,0.340342,0.328382,0.411096,0.459141,0.538804,0.554696,0.399340,0.397463,0.328731,0.285414
AT32,Salzburg,,0.605750,0.775261,0.557683,0.272830,0.390792,0.474233,0.638373,0.711382,0.433975,0.380114,0.301836,0.469343
AT33,Tirol,,0.300921,0.358998,0.290467,0.180320,0.235388,0.302493,0.439784,0.483586,0.319372,0.270422,0.191137,0.237212
AT34,Vorarlberg,,0.070820,0.101744,0.080083,0.050772,0.060013,0.081075,0.102813,0.124747,0.080396,0.063636,0.043555,0.053079
PL21,Małopolskie,,0.871711,0.889502,0.639174,0.639834,0.866317,0.933317,1.237517,1.357581,0.932214,0.848340,0.713232,0.804977
PL22,Śląskie,,0.426171,0.408882,0.326625,0.349956,0.443408,0.471328,0.534195,0.597605,0.479253,0.473715,0.432509,0.415286
PL41,Wielkopolskie,,0.169834,0.181441,0.197310,0.218158,0.268470,0.338838,0.434316,0.428453,0.280931,0.260037,0.231574,0.182774
PL42,Zachodniopomorskie,,0.494593,0.598543,0.598646,0.721150,1.127814,1.596167,2.356848,2.338821,1.276826,0.810607,0.637968,0.505878
PL43,Lubuskie,,0.043794,0.050509,0.052936,0.059409,0.095894,0.114950,0.225402,0.206420,0.093179,0.073408,0.062417,0.052510
PL51,Dolnośląskie,,0.718144,0.729875,0.577413,0.604410,0.827609,0.820057,1.057532,1.202631,0.739842,0.783749,0.676182,0.703478
PL52,Opolskie,,0.038762,0.045520,0.038693,0.042001,0.061903,0.071356,0.084265,0.097281,0.054153,0.060462,0.048341,0.039112
PL61,Kujawsko-pomorskie,,0.274963,0.301851,0.323282,0.335713,0.406981,0.418591,0.492682,0.492528,0.409690,0.394437,0.349192,0.290526
PL62,Warmińsko-mazurskie,,0.143832,0.127137,0.141716,0.146422,0.293915,0.364192,0.640419,0.654322,0.256132,0.177969,0.156265,0.140696
PL63,Pomorskie,,0.379733,0.425566,0.396274,0.436732,0.746095,1.064738,1.840217,1.868206,0.838671,0.505974,0.427939,0.377716
PL71,Łódzkie,,0.141696,0.149009,0.150796,0.159873,0.189287,0.218555,0.238540,0.242165,0.206301,0.218999,0.195956,0.155342
PL72,Świętokrzyskie,,0.113708,0.122534,0.133061,0.132297,0.173547,0.171913,0.207583,0.224271,0.185211,0.169810,0.155135,0.129745
PL81,Lubelskie,,0.110512,0.106336,0.123298,0.148453,0.190806,0.205925,0.302832,0.317023,0.196863,0.175451,0.155069,0.129071
PL82,Podkarpackie,,0.202386,0.189293,0.188523,0.207270,0.278861,0.309618,0.416071,0.450444,0.293648,0.274536,0.212570,0.177423
PL84,Podlaskie,,0.055723,0.054018,0.054583,0.064754,0.100626,0.113167,0.167316,0.184543,0.122233,0.090526,0.070179,0.061973
PL91,Warszawski stołeczny,,0.412452,0.458681,0.473271,0.503857,0.571280,0.575523,0.561130,0.611094,0.610304,0.652981,0.602902,0.524789
PL92,Mazowiecki regionalny,,0.084175,0.078389,0.084314,0.095684,0.113286,0.133095,0.151673,0.154281,0.131327,0.124358,0.113819,0.102633
PT11,Norte,,0.296901,0.349154,0.388973,0.416484,0.456085,0.520232,0.627525,0.893808,0.537618,0.454096,0.428881,0.421455
PT15,Algarve,,0.127837,0.173887,0.250054,0.313771,0.340820,0.596411,0.980755,1.482165,0.661691,0.286977,0.175246,0.180478
PT19,Centro (PT),,0.214767,0.246091,0.280256,0.282979,0.309218,0.345498,0.470758,0.807642,0.386524,0.296493,0.285549,0.278379
PT1A,Grande Lisboa,,0.233510,0.262692,0.293875,0.308117,0.316230,0.328420,0.341538,0.342492,0.302559,0.317091,0.316115,0.308106
PT1B,Península de Setúbal,,0.067700,0.077249,0.086956,0.104534,0.111064,0.152460,0.232713,0.305762,0.172370,0.112786,0.080792,0.078284
PT1C,Alentejo,,0.090175,0.124893,0.155362,0.186298,0.215570,0.282186,0.426604,0.675884,0.313860,0.181740,0.158120,0.133981
PT1D,Oeste e Vale do Tejo,,0.086610,0.105443,0.126855,0.142212,0.169084,0.189712,0.276007,0.401390,0.211376,0.149574,0.146006,0.129064
PT20,Região Autónoma dos Açores,,0.052202,0.074335,0.096185,0.114809,0.110169,0.107979,0.103755,0.115679,0.105337,0.101762,0.077593,0.050809
PT30,Região Autónoma da Madeira,,0.068357,0.087197,0.100757,0.103041,0.116314,0.138615,0.143293,0.165606,0.132026,0.135361,0.112623,0.105527
RO11,Nord-Vest,,0.173037,0.198119,0.189442,0.206015,0.261337,0.310258,0.398622,0.461205,0.306008,0.301406,0.249177,0.222556
RO12,Centru,,0.343115,0.409751,0.334963,0.333820,0.399583,0.441184,0.585018,0.668956,0.470125,0.477030,0.399921,0.433574
RO21,Nord-Est,,0.139840,0.141861,0.144500,0.163432,0.205678,0.233504,0.311176,0.380888,0.232319,0.240372,0.182801,0.186779
RO22,Sud-Est,,0.068303,0.088650,0.097509,0.119017,0.186459,0.663104,1.990007,2.317843,0.516276,0.154707,0.118936,0.084373
RO31,Sud-Muntenia,,0.129384,0.146546,0.126334,0.126991,0.163627,0.198229,0.253968,0.282985,0.198428,0.172837,0.162934,0.153811
RO32,Bucureşti-Ilfov,,0.113959,0.129623,0.140371,0.136944,0.146980,0.148776,0.144392,0.145600,0.162966,0.174797,0.160150,0.139062
RO41,Sud-Vest Oltenia,,0.121606,0.126554,0.121721,0.120064,0.156628,0.211646,0.257117,0.304531,0.216254,0.202317,0.170727,0.149968
RO42,Vest,,0.079204,0.091849,0.097524,0.109831,0.135213,0.161888,0.193768,0.233143,0.186343,0.159090,0.135032,0.110746
SI03,Vzhodna Slovenija,,0.173728,0.216889,0.177022,0.160160,0.179429,0.208901,0.249516,0.293847,0.177241,0.194129,0.174305,0.176996
SI04,Zahodna Slovenija,,0.103593,0.160551,0.126774,0.125239,0.154094,0.214077,0.313709,0.339121,0.180875,0.155785,0.119812,0.122759
SK01,Bratislavský kraj,,0.055550,0.062795,0.073361,0.074884,0.094539,0.093374,0.136728,0.126092,0.085574,0.092537,0.086666,0.073880
SK02,Západné Slovensko,,0.091177,0.121141,0.145375,0.152089,0.198607,0.239440,0.342323,0.339107,0.187297,0.187100,0.171425,0.091566
SK03,Stredné Slovensko,,0.263567,0.295241,0.272421,0.208780,0.273290,0.309335,0.452066,0.526986,0.283272,0.299353,0.263930,0.218202
SK04,Východné Slovensko,,0.182440,0.210348,0.206161,0.161453,0.214111,0.237899,0.331337,0.363626,0.229937,0.254825,0.205100,0.182715
FI19,Länsi-Suomi,,0.218894,0.291300,0.299384,0.262173,0.284259,0.438861,0.679550,0.395871,0.279903,0.308646,0.257863,0.228155
FI1B,Helsinki-Uusimaa,,0.243814,0.267481,0.291520,0.295709,0.331500,0.405673,0.461839,0.385335,0.316408,0.372560,0.337866,0.266876
FI1C,Etelä-Suomi,,0.143881,0.187434,0.197403,0.173500,0.218797,0.327017,0.477501,0.307736,0.205677,0.230705,0.183574,0.157525
FI1D,Pohjois- ja Itä-Suomi,,0.290365,0.410790,0.541438,0.408833,0.282678,0.553377,0.861590,0.530363,0.500658,0.367531,0.294500,0.319587
FI20,Åland,,0.003078,0.003853,0.004804,0.009153,0.021578,0.046496,0.063801,0.031018,0.014469,0.008335,0.005276,0.003971
SE11,Stockholm,,0.641540,0.645381,0.751677,0.760839,0.893931,0.853594,1.042699,0.987100,0.857159,0.864709,0.821995,0.636800
SE12,Östra Mellansverige,,0.259609,0.282595,0.330441,0.361788,0.537511,0.644131,1.029751,0.711188,0.420900,0.383073,0.337190,0.251775
SE21,Småland med öarna,,0.150611,0.153071,0.196320,0.201828,0.442735,0.735435,1.662243,0.832268,0.321123,0.244100,0.190542,0.141938
SE22,Sydsverige,,0.217757,0.260928,0.313265,0.338313,0.537979,0.636661,1.147281,0.764970,0.424179,0.349386,0.317977,0.272645
SE23,Västsverige,,0.413696,0.468277,0.536884,0.555388,0.974890,1.169309,2.210197,1.426370,0.680821,0.630425,0.595561,0.430766
SE31,Norra Mellansverige,,0.381212,0.431346,0.442213,0.289228,0.302951,0.504630,0.935049,0.567904,0.302315,0.255760,0.227300,0.288399
SE32,Mellersta Norrland,,0.175451,0.215617,0.240756,0.171391,0.148558,0.210133,0.445197,0.281862,0.174930,0.144272,0.128721,0.165492
SE33,Övre Norrland,,0.200537,0.226485,0.256302,0.236055,0.257040,0.338707,0.509003,0.375282,0.261635,0.219956,0.206900,0.180629
IS00,Ísland,,0.042555,0.067034,0.089863,0.081057,0.100404,0.176450,0.390555,0.234818,0.110129,0.105404,0.083067,0.056468
LI00,Liechtenstein,,0.000327,0.000436,0.000222,0.000299,0.000402,0.000738,0.000616,0.000554,0.000231,0.000531,0.000386,0.000535
NO02,Innlandet,,0.125035,0.162138,0.210880,0.127108,0.176111,0.321703,0.539179,0.369293,0.233943,0.151075,0.132877,0.117120
NO06,Trøndelag/Trööndelage,,0.119058,0.161611,0.174232,0.157426,0.182525,0.244090,0.324329,0.266282,0.194831,0.177298,0.174063,0.113088
NO07,Nord-Norge,,0.158944,0.188979,0.208419,0.189243,0.208742,0.353727,0.446232,0.353495,0.262879,0.217506,0.205859,0.144328
NO08,Oslo og Viken,,0.528305,0.539491,0.604377,0.572128,0.661804,0.836336,0.965904,0.843769,0.725303,0.674452,0.653865,0.473920
NO09,Agder og Sør-Østlandet,,0.102172,0.130093,0.179072,0.159269,0.353008,0.505287,1.120254,0.514822,0.241210,0.186741,0.155893,0.110687
NO0A,Vestlandet,,0.316073,0.367895,0.431995,0.443079,0.642358,0.739588,0.918828,0.739758,0.572809,0.457255,0.436715,0.299363
NO0B,Svalbard og Jan Mayen,,0.003080,0.006147,0.007180,0.008585,0.006342,0.004212,0.004842,0.006110,0.006141,0.005624,0.003755,0.002957
CH01,Région lémanique,,0.791155,1.111686,0.703949,0.459692,0.498682,0.573935,0.931593,0.856379,0.632716,0.492647,0.323288,0.575170
CH02,Espace Mittelland,,0.420222,0.523706,0.397083,0.358039,0.525217,0.561831,0.810774,0.726730,0.536617,0.454139,0.277624,0.297756
CH03,Nordwestschweiz,,0.080504,0.084054,0.093384,0.103886,0.130684,0.132376,0.129985,0.126342,0.126116,0.122805,0.120307,0.110427
CH04,Zürich,,0.145697,0.144529,0.188268,0.215642,0.263431,0.283474,0.284339,0.275880,0.262765,0.234126,0.207573,0.204574
CH05,Ostschweiz,,0.915802,1.257763,0.748097,0.320861,0.390444,0.571720,1.093063,0.983685,0.669640,0.604541,0.235764,0.584515
CH06,Zentralschweiz,,0.213461,0.279320,0.226915,0.207430,0.283788,0.295762,0.399220,0.366403,0.295104,0.261217,0.171089,0.182196
CH07,Ticino,,0.052492,0.071875,0.136698,0.306427,0.301579,0.318132,0.534882,0.407466,0.362734,0.282962,0.082640,0.068879
BA,Bosnia and Herzegovina,,:,:,:,:,:,:,:,:,:,:,:,:
ME00,Crna Gora,,0.050021,0.020756,0.032518,0.050465,0.062054,0.075715,0.086220,0.081919,0.048785,0.036852,0.031090,0.020761
MD,Moldova,,:,:,:,:,:,:,:,:,:,:,:,:
MK00,Severna Makedonija,,0.042568,0.035236,0.036813,0.042315,0.056326,0.063825,0.086988,0.094845,0.052320,0.055746,0.046518,0.036632
GE,Georgia,,:,:,:,:,:,:,:,:,:,:,:,:
AL01,Veri,,0.014188,0.013131,0.016730,0.020536,0.021387,0.046921,0.125871,0.134456,0.081302,0.032469,0.019838,0.020208
AL02,Qender,,0.034510,0.027137,0.036485,0.054793,0.053062,0.058809,0.087007,0.084730,0.061855,0.051733,0.034954,0.044351
AL03,Jug,,0.026251,0.020260,0.025937,0.038754,0.051349,0.100419,0.222488,0.292531,0.128645,0.060677,0.032252,0.038751
RS11,City of Belgrade,,0.034200,0.038121,0.044079,0.043548,0.043347,0.043009,0.042360,0.042832,0.041779,0.047984,0.045545,0.051411
RS12,Autonomous Province of Vojvodina,,0.051898,0.063318,0.069152,0.086602,0.089041,0.082448,0.096558,0.101506,0.079601,0.089163,0.075353,0.064853
RS21,Region Šumadije i Zapadne Srbije,,0.291993,0.284876,0.278451,0.293233,0.344435,0.324471,0.384622,0.439803,0.240505,0.241716,0.192486,0.207917
RS22,Region Južne i Istočne Srbije,,0.060023,0.081017,0.096256,0.127539,0.161796,0.167175,0.203351,0.226003,0.151861,0.126425,0.098859,0.071881
TR,Türkiye,,:,:,:,:,:,:,:,:,:,:,:,:
UA,Ukraine,,:,:,:,:,:,:,:,:,:,:,:,:
