NUTS,Region name,Total,January,February,March,April,May,June,July,August,September,October,November,December,,,,
ITC1,Piemonte,,0.279779,0.375657,0.440064,0.509520,0.806184,0.745644,1.119661,1.151201,0.843384,0.559030,0.272062,0.259841,,,,
ITC2,Valle d’Aosta/Vallée d’Aoste,,0.182934,0.279163,0.233601,0.082732,0.042918,0.086311,0.187461,0.176735,0.085500,0.031829,0.017707,0.124806,,,,
ITC3,Liguria,,0.113488,0.150063,0.297073,0.560897,0.935456,0.831941,1.248257,1.197370,1.023536,0.687334,0.201474,0.147388,,,,
ITC4,Lombardia,,1.264422,1.515031,1.831870,2.263951,3.019755,2.987962,4.040567,4.011108,3.134597,2.377646,1.338900,1.463902,,,,
ITF1,Abruzzo,,0.031016,0.027640,0.033301,0.048676,0.106970,0.137445,0.224207,0.178791,0.145128,0.067330,0.055241,0.028342,,,,
ITF2,Molise,,0.001004,0.001348,0.001689,0.002065,0.004698,0.004881,0.007955,0.007826,0.005272,0.002961,0.001773,0.000863,,,,
ITF3,Campania,,0.157495,0.200372,0.413851,0.920801,1.446264,1.564109,1.818105,1.608431,1.688065,1.276099,0.344494,0.204273,,,,
ITF4,Puglia,,0.061974,0.074819,0.129724,0.372413,0.763394,0.804612,0.997892,0.878527,1.015797,0.702208,0.140964,0.089232,,,,
ITF5,Basilicata,,0.008341,0.009698,0.015744,0.033055,0.055685,0.062228,0.059468,0.054243,0.072017,0.053150,0.014837,0.009459,,,,
ITF6,Calabria,,0.008225,0.008632,0.014680,0.039842,0.163614,0.253733,0.343431,0.291914,0.301439,0.147914,0.018682,0.014002,,,,
ITG1,Sicilia,,0.138528,0.165430,0.336104,0.726260,1.075684,1.081662,1.269170,1.159525,1.254600,1.063710,0.274010,0.152686,,,,
ITG2,Sardegna,,0.016886,0.019967,0.042582,0.272559,0.932862,1.218053,1.582671,1.431703,1.522041,0.868860,0.042794,0.025685,,,,
ITH1,Provincia Autonoma di Bolzano/Bozen,,2.105479,2.691695,2.143206,1.099529,2.085267,2.569500,3.276191,3.043977,3.170989,2.413554,0.423364,1.529949,,,,
ITH2,Provincia Autonoma di Trento,,0.834538,1.071759,0.809750,0.333635,0.640319,0.773811,1.208613,1.108006,0.847027,0.429886,0.085039,0.476855,,,,
ITH3,Veneto,,0.963332,1.297395,1.928106,2.830274,6.134641,6.469412,10.001389,10.202191,6.512715,3.222095,1.182204,1.034733,,,,
ITH4,Friuli-Venezia Giulia,,0.152515,0.160791,0.192270,0.216077,0.659585,0.806347,1.305296,1.311360,0.693678,0.252500,0.129592,0.132472,,,,
ITH5,Emilia-Romagna,,0.288071,0.302906,0.515719,0.677828,1.258954,1.415129,2.606317,2.287719,1.448112,0.707222,0.405340,0.302310,,,,
ITI1,Toscana,,0.555489,0.598131,1.130402,1.851062,3.318333,3.146195,4.457197,4.072867,3.557645,2.416345,0.853206,0.664355,,,,
ITI2,Umbria,,0.043299,0.048369,0.081647,0.172340,0.282480,0.285410,0.377380,0.357094,0.310256,0.255795,0.097605,0.072607,,,,
ITI3,Marche,,0.040214,0.039000,0.052918,0.081245,0.180835,0.278241,0.410838,0.349955,0.249792,0.110489,0.062467,0.053199,,,,
ITI4,Lazio,,1.431118,1.907104,2.533219,3.089123,3.657523,3.596120,3.942629,3.385510,3.615332,3.742867,2.145497,1.743050,,,,
CY00,Kýpros,,0.210896,0.282096,0.552010,1.257258,1.792455,2.073334,2.401517,2.456024,2.259029,2.220053,0.721521,0.332661,,,,
LV00,Latvija,,0.120028,0.126150,0.162114,0.186684,0.243717,0.304907,0.429829,0.410285,0.251574,0.216094,0.182175,0.207696,,,,
LT01,Sostin?s regionas,,0.087550,0.080576,0.107853,0.120596,0.157338,0.159797,0.179929,0.198558,0.154352,0.134806,0.111188,0.115870,,,,
LT02,Vidurio ir vakar? Lietuvos regionas,,0.088872,0.078970,0.104912,0.102068,0.129417,0.153075,0.203957,0.201670,0.133693,0.112886,0.094619,0.089619,,,,
LU00,Luxembourg,,0.105405,0.119375,0.143377,0.239410,0.375222,0.342942,0.501656,0.589187,0.273863,0.212868,0.163176,0.159036,,,,
HU11,Budapest,,0.504016,0.539339,0.677890,0.720395,0.829683,0.795294,0.853075,0.945396,0.818887,0.817076,0.739229,0.881432,,,,
HU12,Pest,,0.021094,0.021426,0.027953,0.032072,0.041213,0.043768,0.062520,0.055204,0.040697,0.037839,0.028620,0.030307,,,,
HU21,Közép-Dunántúl,,0.031847,0.033490,0.042316,0.057276,0.084122,0.097199,0.201786,0.217268,0.078993,0.046025,0.031746,0.024661,,,,
HU22,Nyugat-Dunántúl,,0.103200,0.142017,0.178060,0.158290,0.219185,0.203794,0.247212,0.273285,0.209863,0.212536,0.161213,0.116165,,,,
HU23,Dél-Dunántúl,,0.008746,0.010732,0.014922,0.020891,0.043388,0.071368,0.149809,0.144720,0.044191,0.023576,0.013203,0.011816,,,,
HU31,Észak-Magyarország,,0.017898,0.019754,0.022537,0.025781,0.046898,0.041439,0.077060,0.091772,0.037875,0.027709,0.023165,0.015215,,,,
HU32,Észak-Alföld,,0.043064,0.045966,0.044931,0.056123,0.078199,0.077486,0.118999,0.138950,0.077758,0.058836,0.053686,0.044652,,,,
HU33,Dél-Alföld,,0.037665,0.041396,0.035142,0.044099,0.059986,0.059665,0.085057,0.088122,0.061947,0.050994,0.044365,0.036726,,,,
MT00,Malta,,0.485185,0.584607,0.745182,0.883296,0.982881,0.990181,1.194279,1.252856,1.017597,1.054456,0.800398,0.614165,,,,
NL11,Groningen,,0.035682,0.025758,0.048017,0.050231,0.069033,0.061322,0.090312,0.102422,0.063259,0.070471,0.034487,0.028743,,,,
NL12,Friesland (NL),,0.044623,0.037788,0.100493,0.133333,0.170730,0.177941,0.335003,0.322247,0.145696,0.173172,0.046294,0.032569,,,,
NL13,Drenthe,,0.063341,0.069008,0.167337,0.118258,0.099870,0.080580,0.265137,0.207802,0.088465,0.210555,0.036526,0.044292,,,,
NL21,Overijssel,,0.038240,0.033405,0.074183,0.141686,0.179229,0.138582,0.272833,0.263597,0.104594,0.176940,0.045179,0.039875,,,,
NL22,Gelderland,,0.085280,0.078979,0.158055,0.258292,0.277991,0.249515,0.471562,0.416910,0.190347,0.300136,0.110375,0.077489,,,,
NL23,Flevoland,,0.050465,0.034690,0.073772,0.071426,0.084267,0.067150,0.139343,0.156973,0.082089,0.108858,0.020140,0.030868,,,,
NL32,Noord-Holland,,1.503070,1.518813,2.057062,2.456443,2.518164,2.359866,3.024435,3.086573,2.369196,2.431314,1.772478,1.708973,,,,
NL34,Zeeland,,0.237323,0.186276,0.393526,0.672916,0.861686,0.816325,1.152388,1.355471,0.785981,0.866933,0.304419,0.163891,,,,
NL35,Utrecht,,0.063550,0.060675,0.098088,0.120987,0.119590,0.100352,0.131163,0.137604,0.104261,0.097234,0.080868,0.066375,,,,
NL36,Zuid-Holland,,0.342091,0.345057,0.588307,0.880139,0.878517,0.783802,1.144116,1.337312,0.818028,0.807753,0.403684,0.343405,,,,
NL41,Noord-Brabant,,0.169578,0.177641,0.269575,0.372687,0.364640,0.269491,0.566903,0.579535,0.279319,0.371507,0.208190,0.179163,,,,
NL42,Limburg (NL),,0.221869,0.209775,0.372567,0.376618,0.362377,0.286368,0.567515,0.506315,0.335817,0.522765,0.218336,0.219130,,,,
AT11,Burgenland,,0.022074,0.018679,0.027070,0.034709,0.062455,0.108975,0.098788,0.109586,0.058769,0.040182,0.021941,0.024746,,,,
AT12,Niederösterreich,,0.108091,0.111399,0.124287,0.143677,0.209552,0.221415,0.279153,0.312780,0.202099,0.175202,0.118891,0.149233,,,,
AT13,Wien,,0.753679,0.758536,1.016085,1.185069,1.337358,1.266600,1.497024,1.612754,1.247097,1.320548,1.201164,1.678237,,,,
AT21,Kärnten,,0.479888,0.537077,0.312190,0.114531,0.358060,0.617795,1.290117,1.542564,0.565467,0.217634,0.059667,0.307412,,,,
AT22,Steiermark,,0.534723,0.604237,0.420318,0.158089,0.263206,0.488020,0.676915,0.750283,0.366251,0.255008,0.123630,0.395984,,,,
AT31,Oberösterreich,,0.164135,0.194119,0.191320,0.185285,0.295402,0.356536,0.500389,0.535936,0.314360,0.242434,0.136652,0.191998,,,,
AT32,Salzburg,,2.553472,2.895103,2.054609,0.552462,0.894801,1.176440,2.341832,2.558690,1.185369,0.875675,0.337583,1.782619,,,,
AT33,Tirol,,4.571881,5.370091,3.963609,1.153157,1.551605,2.121222,3.986619,4.608988,2.464236,1.776892,0.783892,3.307874,,,,
AT34,Vorarlberg,,0.882661,1.034997,0.800793,0.204554,0.338807,0.392470,0.678244,0.839121,0.467133,0.400621,0.127499,0.567956,,,,
PL21,Ma?opolskie,,0.270240,0.283532,0.333325,0.338554,0.382673,0.388387,0.529424,0.570498,0.423164,0.437323,0.338756,0.476830,,,,
PL22,?l?skie,,0.048460,0.061916,0.056760,0.059993,0.061863,0.066546,0.091311,0.091241,0.066600,0.077809,0.064550,0.052399,,,,
PL41,Wielkopolskie,,0.033162,0.036110,0.043972,0.045734,0.060534,0.062273,0.076197,0.073168,0.064867,0.057479,0.054057,0.052638,,,,
PL42,Zachodniopomorskie,,0.135396,0.202860,0.264677,0.202086,0.289055,0.309800,0.459823,0.473645,0.353220,0.365605,0.210213,0.194565,,,,
PL43,Lubuskie,,0.018159,0.018552,0.023441,0.026054,0.029201,0.029456,0.038206,0.039455,0.030244,0.032347,0.028127,0.022705,,,,
PL51,Dolno?l?skie,,0.087607,0.110306,0.132769,0.113073,0.148545,0.147820,0.213799,0.215808,0.145417,0.196223,0.131564,0.172739,,,,
PL52,Opolskie,,0.005861,0.005285,0.006148,0.006734,0.009095,0.007156,0.010499,0.011101,0.007519,0.008240,0.006584,0.006127,,,,
PL61,Kujawsko-pomorskie,,0.012460,0.012115,0.021026,0.016243,0.019719,0.030838,0.026169,0.026879,0.021545,0.017364,0.016241,0.014434,,,,
PL62,Warmi?sko-mazurskie,,0.005264,0.005754,0.008300,0.010587,0.024328,0.042835,0.044573,0.042927,0.026939,0.011758,0.005989,0.009026,,,,
PL63,Pomorskie,,0.068782,0.077010,0.098340,0.100497,0.132374,0.148522,0.240088,0.238455,0.157017,0.132400,0.098727,0.115032,,,,
PL71,?ódzkie,,0.017193,0.019517,0.022279,0.023058,0.021561,0.025830,0.033800,0.034014,0.027550,0.027437,0.025337,0.023004,,,,
PL72,?wi?tokrzyskie,,0.009348,0.010032,0.010631,0.009948,0.012863,0.012550,0.013417,0.011827,0.013304,0.007071,0.008695,0.006031,,,,
PL81,Lubelskie,,0.012828,0.014483,0.014734,0.017403,0.016930,0.017877,0.026485,0.024949,0.019682,0.019777,0.018820,0.017002,,,,
PL82,Podkarpackie,,0.030860,0.028320,0.028575,0.027817,0.033162,0.030533,0.037054,0.032910,0.029523,0.032357,0.027898,0.030206,,,,
PL84,Podlaskie,,0.007687,0.008380,0.009447,0.010065,0.011916,0.013934,0.017521,0.019336,0.011758,0.010538,0.009538,0.010055,,,,
PL91,Warszawski sto?eczny,,0.174935,0.182378,0.211224,0.216721,0.234728,0.261332,0.325498,0.342703,0.282755,0.265811,0.230941,0.258461,,,,
PL92,Mazowiecki regionalny,,0.012581,0.012792,0.015308,0.014553,0.015202,0.018443,0.024366,0.025383,0.022267,0.021927,0.026088,0.023162,,,,
PT11,Norte,,0.353908,0.425844,0.647359,0.777504,0.977060,0.896914,1.075667,1.291575,1.063833,0.913638,0.554539,0.443186,,,,
PT15,Algarve,,0.575956,0.786242,1.142379,1.484117,1.883111,1.896574,2.170924,2.246731,1.954873,1.928712,0.775821,0.568058,,,,
PT19,Centro (PT),,0.070862,0.076585,0.124761,0.144856,0.198160,0.185985,0.250995,0.347536,0.230560,0.173103,0.102317,0.081530,,,,
PT1A,Grande Lisboa,,0.797088,0.994711,1.340162,1.405734,1.617021,1.477287,1.598259,1.758375,1.605505,1.571284,1.149575,0.908445,,,,
PT1B,Península de Setúbal,,0.027372,0.036550,0.068135,0.076122,0.098265,0.093440,0.109948,0.131438,0.109163,0.091685,0.053803,0.035565,,,,
PT1C,Alentejo,,0.054310,0.071968,0.110350,0.131956,0.175388,0.139308,0.158592,0.187264,0.172646,0.147959,0.080757,0.064475,,,,
PT1D,Oeste e Vale do Tejo,,0.055723,0.077299,0.136090,0.176457,0.215080,0.194469,0.257505,0.303681,0.241938,0.223638,0.118101,0.066043,,,,
PT20,Regiăo Autónoma dos Açores,,0.037521,0.046115,0.086930,0.123633,0.194001,0.236191,0.316231,0.347911,0.265556,0.172180,0.077397,0.047539,,,,
PT30,Regiăo Autónoma da Madeira,,0.514558,0.564846,0.665217,0.687440,0.754647,0.726436,0.800375,0.823834,0.756978,0.718595,0.619036,0.536502,,,,
RO11,Nord-Vest,,0.021075,0.024756,0.028997,0.032550,0.042668,0.047848,0.058128,0.060389,0.048606,0.042083,0.032357,0.024635,,,,
RO12,Centru,,0.041834,0.036183,0.042513,0.058146,0.093642,0.088992,0.122196,0.137507,0.097369,0.071337,0.047287,0.045303,,,,
RO21,Nord-Est,,0.015869,0.013114,0.016274,0.016427,0.021494,0.023829,0.032695,0.032140,0.026459,0.022534,0.016471,0.014428,,,,
RO22,Sud-Est,,0.009092,0.011321,0.012351,0.015674,0.021929,0.024355,0.035285,0.035855,0.026061,0.016004,0.014640,0.010582,,,,
RO31,Sud-Muntenia,,0.014608,0.016837,0.014361,0.018418,0.021027,0.023343,0.031543,0.034606,0.025281,0.020972,0.019585,0.016454,,,,
RO32,Bucure?ti-Ilfov,,0.148571,0.172119,0.208004,0.212910,0.224359,0.223543,0.206835,0.207568,0.227819,0.235428,0.211432,0.196582,,,,
RO41,Sud-Vest Oltenia,,0.005085,0.006140,0.005595,0.006249,0.008546,0.007317,0.010940,0.012338,0.008840,0.007640,0.006347,0.009736,,,,
RO42,Vest,,0.016649,0.016239,0.020493,0.021477,0.026759,0.022476,0.028059,0.030655,0.028462,0.024537,0.020509,0.021462,,,,
SI03,Vzhodna Slovenija,,0.178301,0.163670,0.165312,0.168497,0.239908,0.237161,0.445716,0.530422,0.237818,0.217206,0.168216,0.169609,,,,
SI04,Zahodna Slovenija,,0.292964,0.286968,0.371567,0.482493,0.819268,0.986577,1.865189,2.098519,1.003606,0.553905,0.293694,0.360265,,,,
SK01,Bratislavský kraj,,0.077086,0.076238,0.108275,0.115959,0.137937,0.140058,0.194376,0.189191,0.132422,0.135516,0.115262,0.128911,,,,
SK02,Západné Slovensko,,0.041168,0.058104,0.070598,0.073938,0.109818,0.114521,0.140215,0.128783,0.099713,0.088951,0.065851,0.045306,,,,
SK03,Stredné Slovensko,,0.134202,0.181791,0.092570,0.050766,0.083136,0.088512,0.189401,0.175694,0.083457,0.077217,0.049602,0.092575,,,,
SK04,Východné Slovensko,,0.070826,0.089557,0.055858,0.049567,0.079636,0.092909,0.141171,0.165272,0.094514,0.071827,0.042346,0.057239,,,,
FI19,Länsi-Suomi,,0.026567,0.033587,0.032301,0.026820,0.036615,0.045035,0.061497,0.063714,0.036724,0.035527,0.032787,0.027632,,,,
FI1B,Helsinki-Uusimaa,,0.153568,0.158103,0.167376,0.169262,0.227171,0.310654,0.334689,0.375171,0.250037,0.215421,0.222546,0.246054,,,,
FI1C,Etelä-Suomi,,0.015387,0.016279,0.017286,0.016558,0.028209,0.037530,0.049332,0.060705,0.023894,0.020500,0.017591,0.012679,,,,
FI1D,Pohjois- ja Itä-Suomi,,0.398381,0.423830,0.311598,0.057739,0.036043,0.092571,0.143151,0.133046,0.076869,0.078529,0.191766,0.616245,,,,
FI20,Ĺland,,0.003840,0.003294,0.004410,0.005515,0.021170,0.029472,0.064568,0.041172,0.016140,0.008255,0.003753,0.002461,,,,
SE11,Stockholm,,0.238386,0.294225,0.350915,0.349954,0.562634,0.578847,0.767908,0.760557,0.480837,0.426728,0.349173,0.390131,,,,
SE12,Östra Mellansverige,,0.035560,0.038192,0.041007,0.048681,0.072983,0.119731,0.230698,0.153913,0.071411,0.069026,0.049301,0.039206,,,,
SE21,Smĺland med öarna,,0.024731,0.032799,0.031324,0.032225,0.092135,0.196533,0.470610,0.361116,0.077058,0.039059,0.023244,0.018752,,,,
SE22,Sydsverige,,0.068315,0.087835,0.102733,0.101688,0.180755,0.247419,0.425812,0.386107,0.160107,0.120748,0.092575,0.094770,,,,
SE23,Västsverige,,0.117279,0.134573,0.199516,0.165013,0.299243,0.389256,0.956600,0.603556,0.247481,0.218409,0.180948,0.166897,,,,
SE31,Norra Mellansverige,,0.076752,0.112858,0.082711,0.043409,0.086772,0.169882,0.402769,0.235130,0.066324,0.043387,0.034453,0.055164,,,,
SE32,Mellersta Norrland,,0.022583,0.043935,0.037218,0.020907,0.036274,0.069603,0.176540,0.083528,0.032925,0.023064,0.018268,0.025875,,,,
SE33,Övre Norrland,,0.099647,0.127498,0.108930,0.044913,0.058621,0.171379,0.455395,0.164361,0.067871,0.045975,0.049618,0.101588,,,,
IS00,Ísland,,0.340725,0.474557,0.553567,0.404181,0.560582,0.820394,1.168568,1.136732,0.802678,0.671688,0.455256,0.385916,,,,
LI00,Liechtenstein,,0.016004,0.019644,0.017389,0.011880,0.017227,0.019597,0.028815,0.029633,0.019880,0.018573,0.010842,0.013818,,,,
NO02,Innlandet,,0.061994,0.122745,0.092593,0.028370,0.036872,0.109808,0.196984,0.159741,0.056482,0.027144,0.017308,0.056627,,,,
NO06,Trřndelag/Trööndelage,,0.013385,0.016707,0.019552,0.028034,0.060697,0.109008,0.127018,0.098387,0.055363,0.026987,0.018443,0.016651,,,,
NO07,Nord-Norge,,0.098984,0.154204,0.160312,0.072896,0.118260,0.324851,0.466409,0.350084,0.174539,0.132095,0.121248,0.165958,,,,
NO08,Oslo og Viken,,0.214295,0.259666,0.271508,0.231088,0.293832,0.381389,0.523824,0.553709,0.322544,0.276089,0.223035,0.273823,,,,
NO09,Agder og Sřr-Řstlandet,,0.034649,0.046389,0.060088,0.025947,0.055343,0.107678,0.236975,0.184071,0.049804,0.032861,0.026417,0.033885,,,,
NO0A,Vestlandet,,0.067161,0.085867,0.097493,0.130511,0.317987,0.604472,0.887575,0.817211,0.340763,0.156413,0.100374,0.094877,,,,
NO0B,Svalbard og Jan Mayen,,0.006546,0.009919,0.010243,0.008371,0.009799,0.011063,0.015131,0.013528,0.007470,0.006251,0.004616,0.006139,,,,
CH01,Région lémanique,,0.630365,0.707671,0.752171,0.482384,0.541791,0.702500,1.003134,1.101092,0.675400,0.473480,0.353091,0.675024,,,,
CH02,Espace Mittelland,,0.260235,0.307108,0.283153,0.299622,0.502280,0.645814,0.845336,0.910538,0.583784,0.401378,0.189217,0.303021,,,,
CH03,Nordwestschweiz,,0.077622,0.085529,0.108787,0.115163,0.148160,0.164608,0.163660,0.162414,0.147790,0.141943,0.123614,0.155771,,,,
CH04,Zürich,,0.260518,0.243475,0.300114,0.326843,0.398138,0.441734,0.486567,0.459290,0.414716,0.363650,0.304417,0.383904,,,,
CH05,Ostschweiz,,0.415090,0.447327,0.436790,0.139167,0.169597,0.260634,0.431606,0.596249,0.284611,0.161386,0.075570,0.342120,,,,
CH06,Zentralschweiz,,0.127748,0.136881,0.177228,0.190001,0.282462,0.346296,0.424934,0.434000,0.301280,0.221426,0.127885,0.182722,,,,
CH07,Ticino,,0.031799,0.033900,0.062615,0.084613,0.148049,0.157794,0.214302,0.302065,0.167265,0.099772,0.049817,0.046921,,,,
BA,Bosnia and Herzegovina,,:,:,:,:,:,:,:,:,:,:,:,:,,,,
ME00,Crna Gora,,0.019562,0.070151,0.106919,0.267291,0.437268,0.657869,0.949987,1.004449,0.613871,0.311910,0.103483,0.060660,,,,
MD,Moldova,,:,:,:,:,:,:,:,:,:,:,:,:,,,,
MK00,Severna Makedonija,,0.052706,0.049415,0.073300,0.108062,0.141425,0.177529,0.222227,0.232455,0.178756,0.142827,0.084894,0.066782,,,,
GE,Georgia,,:,:,:,:,:,:,:,:,:,:,:,:,,,,
AL01,Veri,,0.011650,0.011534,0.020504,0.029309,0.051984,0.146263,0.260501,0.341834,0.129268,0.061138,0.033988,0.026609,,,,
AL02,Qender,,0.072713,0.086439,0.109615,0.200915,0.227584,0.274194,0.363794,0.433996,0.327036,0.187454,0.141438,0.093874,,,,
AL03,Jug,,0.010402,0.010255,0.015597,0.047529,0.104919,0.242467,0.318635,0.410134,0.266826,0.094917,0.048792,0.016830,,,,
RS11,City of Belgrade,,0.173012,0.171356,0.237208,0.276922,0.314800,0.287152,0.307753,0.301584,0.289302,0.316756,0.256489,0.261489,,,,
RS12,Autonomous Province of Vojvodina,,0.054193,0.053242,0.080949,0.080370,0.109198,0.096874,0.125190,0.116618,0.086688,0.093533,0.076551,0.070368,,,,
RS21,Region Šumadije i Zapadne Srbije,,0.122649,0.096406,0.070970,0.078622,0.095313,0.097365,0.148225,0.161912,0.106997,0.095254,0.079435,0.106679,,,,
RS22,Region Južne i Isto?ne Srbije,,0.036293,0.028802,0.043341,0.038306,0.050470,0.052750,0.076350,0.087827,0.050386,0.046637,0.040724,0.048439,,,,
TR,Türkiye,,:,:,:,:,:,:,:,:,:,:,:,:,,,,
UA,Ukraine,,:,:,:,:,:,:,:,:,:,:,:,:,,,,
